theta, logPE
0.757781, -4.839378E-01
0.752351, -3.825508E-01
0.746777, -2.819130E-01
0.741176, -1.830763E-01
0.735981, -8.870400E-02
0.731071, 2.187370E-03
0.726120, 9.157041E-02
0.721340, 1.782739E-01
0.716825, 2.617862E-01
0.712770, 3.409460E-01
0.708861, 4.181170E-01
0.705191, 4.928085E-01
0.701754, 5.651401E-01
0.698545, 6.353461E-01
0.695460, 7.041355E-01
0.692308, 7.727910E-01
0.689184, 8.406199E-01
0.685901, 9.088823E-01
0.682372, 9.780831E-01
0.678149, 1.050969E+00
0.673707, 1.124127E+00
0.669234, 1.196339E+00
0.664732, 1.267764E+00
0.659945, 1.340305E+00
0.654716, 1.414903E+00
0.649066, 1.491287E+00
0.642857, 1.570392E+00
0.635882, 1.653336E+00
0.628116, 1.740113E+00
0.619241, 1.832502E+00
0.609284, 1.929851E+00
0.597794, 2.034513E+00
0.584890, 2.144661E+00
0.570781, 2.257685E+00
0.555678, 2.370842E+00
0.539615, 2.481989E+00
0.522605, 2.588391E+00
0.505263, 2.683995E+00
0.487569, 2.767097E+00
0.469536, 2.836683E+00
0.451896, 2.892941E+00
0.434296, 2.941105E+00
0.417391, 2.985591E+00
0.400955, 3.031402E+00
0.385233, 3.081583E+00
0.370207, 3.137638E+00
0.355932, 3.199943E+00
0.341788, 3.268220E+00
0.327720, 3.341959E+00
0.316305, 3.418477E+00
