model_number,star_age,star_mass,log_L,log_Teff,log_R,he_core_mass,c_core_mass,o_core_mass,si_core_mass,fe_core_mass,center_h1,center_he4
1.0,1e-05,25.0,4.3215826397276915,3.503756763874178,2.676536628568116,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
10.0,0.0002595868211199999,25.0,4.34896327831349,3.5105120998843486,2.6767162758406724,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
20.0,0.001866879996223736,25.0,4.458721695659155,3.537274243728469,2.678071196825265,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
30.0,0.011818815689988476,25.0,4.647091872968416,3.5817449562797865,2.6833148603772616,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
40.0,0.0734385783984542,25.0,4.817395378909935,3.617849581473272,2.6962573629610493,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
50.0,0.4549719075001067,25.0,4.872726854814718,3.6253678288394777,2.708886606181029,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
60.0,2.817325717658333,25.0,4.873073500340402,3.626372770883172,2.707050044856484,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
70.0,17.44439784661044,25.0,4.83260479222556,3.6305288742041566,2.6785034841570927,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
80.0,66.19395127140922,25.0,4.731846171627309,3.6408739850284384,2.607433952209403,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
90.0,142.81454510913417,25.0,4.624740437367234,3.6513002107343815,2.53302863366748,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
100.0,254.01228084469508,25.0,4.520603235416655,3.661109167986489,2.461342118187977,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
110.0,407.00455715271033,25.0,4.4254726300939975,3.6701113123764513,2.3957725267467227,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
120.0,609.3406957413166,25.0,4.3449159931218215,3.677933437136277,2.3398499587409822,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
130.0,865.9816328048668,25.0,4.28682625753812,3.6844720219264495,2.2977279213687885,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
140.0,1170.6079983111106,25.0,4.2646201277340845,3.689910233569643,2.2757484331803832,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
150.0,1497.2236647441946,25.0,4.295759357051535,3.6940376328155113,2.2830632493473724,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
160.0,1837.2918043540647,25.0,4.4055311043111285,3.696791153489262,2.332442081629667,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
170.0,2141.8246722043855,25.0,4.5519876039778815,3.6988502432119454,2.4015521520176755,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
180.0,2436.2403536643383,25.0,4.700537226241039,3.71893760431996,2.435652240933224,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.2799702023647489
