theta, logPE
1.292308, -2.870574E+00
1.289003, -2.728025E+00
1.284404, -2.593827E+00
1.279513, -2.466924E+00
1.272727, -2.345258E+00
1.263791, -2.227381E+00
1.253108, -2.112423E+00
1.243830, -2.002648E+00
1.234084, -1.895852E+00
1.223301, -1.791256E+00
1.211830, -1.688468E+00
1.203438, -1.590648E+00
1.194313, -1.494387E+00
1.184489, -1.399212E+00
1.175922, -1.306653E+00 
1.167477, -1.215627E+00
1.158887, -1.125558E+00
1.150160, -1.036250E+00
1.141563, -9.479525E-01
1.133093, -8.604022E-01 
1.125754, -7.747074E-01
1.118509, -6.897314E-01
1.111111, -6.051093E-01
1.103328, -5.203617E-01
1.096367, -4.370166E-01
1.089965, -3.546233E-01
1.083638, -2.728244E-01
1.076693, -1.903683E-01
1.068702, -1.065839E-01
1.060160, -2.200969E-02
1.050219, 6.464136E-02
1.040033, 1.518764E-01
1.027942, 2.421948E-01
1.015310, 3.338388E-01
1.000000, 4.306095E-01
0.983991, 5.299020E-01
0.966072, 6.347502E-01
0.949510, 7.393752E-01
0.930576, 8.532532E-01
0.905335, 9.929059E-01
0.871821, 1.180696E+00
0.835544, 1.408397E+00
0.798100, 1.666091E+00
0.761674, 1.932568E+00
0.730223, 2.172858E+00
0.693642, 2.454153E+00
0.656335, 2.743508E+00
0.625388, 2.986714E+00
0.604679, 3.153392E+00
0.592941, 3.252949E+00
