M/Msun,R/Rsun,T,Rho,P,L/Lsun,"X,",Y,He3,C12,N14,O16
0.0000298,0.0065,1.57E+07,1.52E+02,2.34E+17,0.00027,0.33973,0.64046,7.44E-06,2.40E-05,5.45E-03,8.67E-03
0.0000312,0.00661,1.57E+07,1.52E+02,2.34E+17,0.00028,0.33977,0.64042,7.44E-06,2.40E-05,5.45E-03,8.67E-03
0.0000327,0.00671,1.57E+07,1.52E+02,2.34E+17,0.00029,0.33981,0.64038,7.45E-06,2.40E-05,5.45E-03,8.67E-03
0.0000342,0.00681,1.57E+07,1.52E+02,2.34E+17,0.00031,0.33986,0.64033,7.45E-06,2.40E-05,5.45E-03,8.67E-03
0.0000358,0.00692,1.57E+07,1.52E+02,2.34E+17,0.00032,0.33991,0.64028,7.45E-06,2.40E-05,5.45E-03,8.67E-03
0.0000375,0.00702,1.57E+07,1.52E+02,2.33E+17,0.00033,0.33995,0.64024,7.46E-06,2.40E-05,5.45E-03,8.67E-03
0.0000393,0.00713,1.57E+07,1.52E+02,2.33E+17,0.00035,0.34,0.64019,7.46E-06,2.40E-05,5.45E-03,8.67E-03
0.0000411,0.00724,1.57E+07,1.52E+02,2.33E+17,0.00037,0.34005,0.64014,7.46E-06,2.40E-05,5.45E-03,8.67E-03
0.0000431,0.00735,1.57E+07,1.52E+02,2.33E+17,0.00038,0.34011,0.64008,7.47E-06,2.40E-05,5.45E-03,8.67E-03
0.0000451,0.00747,1.57E+07,1.52E+02,2.33E+17,0.0004,0.34016,0.64003,7.47E-06,2.40E-05,5.45E-03,8.67E-03
0.0000472,0.00758,1.57E+07,1.52E+02,2.33E+17,0.00042,0.34022,0.63997,7.47E-06,2.40E-05,5.45E-03,8.67E-03
0.0000494,0.0077,1.57E+07,1.52E+02,2.33E+17,0.00044,0.34028,0.63991,7.48E-06,2.40E-05,5.45E-03,8.67E-03
0.0000518,0.00782,1.57E+07,1.52E+02,2.33E+17,0.00046,0.34033,0.63986,7.48E-06,2.40E-05,5.45E-03,8.67E-03
0.0000542,0.00794,1.57E+07,1.52E+02,2.33E+17,0.00048,0.3404,0.63979,7.49E-06,2.39E-05,5.45E-03,8.67E-03
0.0000568,0.00807,1.57E+07,1.52E+02,2.33E+17,0.00051,0.34046,0.63973,7.49E-06,2.39E-05,5.45E-03,8.67E-03
