frequency,magnetic_field,rho,total_power,TE11_power
18347846743.17278,1.5,0.0005019989117226527,1.717820848789107e-13,7.909398560289822e-15
18964943329.95275,1.5,0.0006671334716731471,1.239442943122932e-13,7.495540687814138e-15
18152474608.21944,1.5,0.00214349037769072,1.633543670001576e-13,6.429404206778036e-15
18411346299.14687,1.5,0.003247665026252166,1.574802244131187e-13,4.600672497930473e-15
19045887874.37733,1.5,0.002131613373313307,1.32189656388092e-13,6.038695797620747e-15
18087247597.72573,1.5,0.001868093483744879,1.547826457655533e-13,6.848440282966876e-15
18540077637.33158,1.5,0.001503573014221262,1.476686357256443e-13,7.032599287227597e-15
19017745796.95121,1.5,0.002645364178552848,1.386102547994241e-13,5.320205811235458e-15
18638286234.74904,1.5,0.001249069026372025,1.406262834188331e-13,7.238241231392327e-15
18176077040.05434,1.5,0.001577752476377084,1.594000940067053e-13,7.155339933658048e-15
18988815286.63428,1.5,0.002163899241433088,1.360337866736436e-13,6.016721100521149e-15
19085583817.82924,1.5,0.003253028417125678,1.423173913886022e-13,4.383742028864921e-15
18187125555.729,1.5,0.001196497306844832,1.549333519749637e-13,7.547465750927403e-15
18443758728.01951,1.5,0.003057001679026151,1.713595819328524e-13,4.890892922533057e-15
18141191897.58293,1.5,0.002434885313683404,1.692790412299335e-13,6.002639140471454e-15
18699130113.83922,1.5,0.001530178548967866,1.586721561853331e-13,6.923886485157205e-15
18857132386.48452,1.5,0.001077968576919311,1.463748254545789e-13,7.277157896842987e-15
18239445347.54579,1.5,0.000390475086184271,1.547634338814031e-13,8.020406567135769e-15
18370769932.27774,1.5,0.0005216444067684823,1.459559474284527e-13,7.88690575470666e-15
18059799802.71493,1.5,0.002214488628936924,1.611775448357411e-13,6.379070529058321e-15
18309581377.01224,1.5,0.00115063134270002,1.564359689011404e-13,7.511886351213687e-15
19078597439.6321,1.5,0.002304944757027987,1.293460561949473e-13,5.789632769256734e-15
18970836399.23793,1.5,0.00117988513204879,1.35998020872729e-13,7.139259850516965e-15
18855419448.20895,1.5,0.001596906197149807,1.662509657769677e-13,6.777647855037561e-15
18288284766.76054,1.5,0.002375687454013841,1.627962040169232e-13,6.017224477913447e-15
18077817169.75927,1.5,0.00316656366410354,1.755508904379439e-13,4.863395087509416e-15
19057443039.52678,1.5,0.003076054212323386,1.558568524456552e-13,4.659843317231873e-15
19072551013.5553,1.5,0.001046294189102975,1.247669593515453e-13,7.202657581981207e-15
18447918698.8014,1.5,0.002223233221903881,1.485782401940259e-13,6.163056461033963e-15
18502776404.23364,1.5,0.002617203482718545,1.598149688792933e-13,5.55419504809888e-15
18481385645.62192,1.5,0.0002971894964703041,1.407296694662075e-13,7.892929800505677e-15
18567949157.70267,1.5,0.0008627577476465365,1.496855207812164e-13,7.584816509646019e-15
19051892931.60292,1.5,0.00344529395572851,1.193815012056931e-13,4.102830914609931e-15
18562565685.69037,1.5,0.002666244487338093,1.606901956474072e-13,5.454764178024487e-15
18808913690.09624,1.5,0.002157404525261579,1.386748077552041e-13,6.096509421004224e-15
19019168773.49148,1.5,0.0008373102090212849,1.272994565527098e-13,7.373172657029061e-15
18894202820.49391,1.5,0.003180818595749281,1.620689681328008e-13,4.547722010521345e-15
18489318389.55539,1.5,0.003291774159606368,1.669550243590224e-13,4.503817917379319e-15
19033719172.40343,1.5,0.001215463474199133,1.327942143006617e-13,7.08010646081807e-15
18373842064.99176,1.5,0.00079399604730924,1.852677640211351e-13,7.742539018681051e-15
