frequency,magnetic_field,rho,total_power,TE11_power
18795961984.40695,2.25,0.00169930304759665,8.406386114176119e-13,7.151568240105912e-15
18090776850.73409,2.25,0.00314166704391764,9.556387608247931e-13,5.175545977902241e-15
18162771260.38292,2.25,0.002518623584301662,9.21430368563678e-13,6.201784459607424e-15
18692301025.56706,2.25,0.002602031997084156,8.497128783168209e-13,5.872670792682954e-15
18058246680.72314,2.25,0.002195629680067916,9.330396436596172e-13,6.766673414753982e-15
18952849226.03991,2.25,0.002343346488229722,8.183875775096859e-13,6.199878965022021e-15
18239405803.46991,2.25,0.001118227418857799,9.133259808712204e-13,8.033325178879815e-15
18600009963.24409,2.25,0.00201558635985042,8.302098020903985e-13,6.798936630499619e-15
18334657839.3967,2.25,0.002995444361348673,9.948763024026238e-13,5.337945800497178e-15
19029766978.02336,2.25,0.0008290292141057237,7.751865131976119e-13,7.918188954953558e-15
18899345009.7986,2.25,0.002969270475916717,8.473393283619677e-13,5.218039604970367e-15
18067248344.74462,2.25,0.002791319122702498,9.391108405904559e-13,5.786657901682222e-15
18619010872.26549,2.25,0.0007749503325419444,8.298407488563441e-13,8.11589540741708e-15
18467781993.51783,2.25,0.003068228258565321,9.313083729734492e-13,5.172423391705897e-15
18765241434.65879,2.25,0.001745705753712926,8.455371365297939e-13,7.10373563131973e-15
19006334949.77542,2.25,0.003262560045658715,8.642651171396662e-13,4.713293694384023e-15
18145084100.74273,2.25,0.002808935555641125,9.425586489376042e-13,5.724296454555084e-15
18308566200.44055,2.25,0.002964121381688665,9.371158106892071e-13,5.399894385354842e-15
18739709310.0991,2.25,0.0008774943984479273,8.075590463607213e-13,7.994956513891736e-15
18090589217.37893,2.25,0.002187109208347249,8.821706589117188e-13,6.763704509179183e-15
18822857611.24055,2.25,0.003087115988544044,8.788341030604911e-13,5.043267501262074e-15
19014585661.06519,2.25,0.001596763415145211,7.851723885441454e-13,7.20242334520796e-15
18559975844.99167,2.25,0.002395586827708676,8.552971909474133e-13,6.24387756379855e-15
18593517703.37077,2.25,0.002553342433243623,8.740302881138477e-13,5.982339094812704e-15
18090188786.24979,2.25,0.003235581391966024,8.199404423662709e-13,5.014071740273832e-15
