frequency,magnetic_field,rho,total_power,TE11_power
18283540194.76702,0.7,0.003153425044827017,1.588780430934704e-15,1.140552147002192e-15
18524297062.65252,0.7,0.00275166374370006,2.022354895533624e-15,1.603953273144484e-15
19053866490.52256,0.7,0.0003880445396666962,1.067709260534043e-15,1.046653571753371e-15
19068621763.96928,0.7,0.002272772605465411,9.612436639664141e-16,8.863983904182015e-16
18736290699.28807,0.7,0.003113899313949764,6.261206559700362e-16,4.827669453359444e-16
18813792673.13837,0.7,0.002346259828613716,1.083072486086558e-15,8.715358624885166e-16
18817248165.80307,0.7,0.003841038511086779,5.926118277553245e-16,4.724684554110283e-16
18737715571.8716,0.7,0.003648220673848008,4.880918679319414e-16,3.816553805605348e-16
18618472919.92644,0.7,0.001166032602745833,2.147718317972358e-15,1.926763156060723e-15
18687200806.63604,0.7,0.002527194936212046,1.483543851382076e-15,1.27182876191426e-15
18819886022.34806,0.7,0.003851235127633221,5.31274357586567e-16,4.260122467295231e-16
18115136068.96514,0.7,0.003487520983764365,1.693995213680372e-15,1.086572569880724e-15
18929397675.5969,0.7,0.003332097992603025,4.140159386606939e-16,2.979706151171999e-16
18269934269.12151,0.7,0.001966723155858793,2.952555706992674e-15,2.2736505755785e-15
18472834950.5241,0.7,0.002654063653900846,1.266727313420418e-15,6.601598461983035e-16
18170354750.03076,0.7,0.001031107171590159,3.413413364951205e-15,2.97422812258156e-15
18347820711.22305,0.7,0.003628826368703634,1.887148766882244e-15,1.403382194978335e-15
18891745876.36879,0.7,0.002546463718863382,1.131186069806147e-15,1.032784436068403e-15
18234979462.56872,0.7,0.002964381385202101,1.674599340965215e-15,1.12064473080693e-15
18270753524.42474,0.7,0.003562741555704383,2.048049050218184e-15,1.408392062887424e-15
18165190543.15503,0.7,0.001810892766434226,2.941450678639401e-15,2.481956123148705e-15
18284394403.95273,0.7,0.001927825399292081,1.970856539870812e-15,1.532355189200787e-15
18005888371.88141,0.7,0.003705860632113516,2.526499898990831e-15,1.755282138365162e-15
